Word,Frequency,PMI,R_Entropy,L_Entropy
就,22,80,3.8924071185928764,3.577819531114783
寿,22,80,3.75,4.058813890331201
母,22,80,3.521640636343318,2.257606878811597
逆,22,80,3.5110854081804272,3.521640636343318
息,22,80,3.3248629576173565,3.5766176449086657
歌,22,80,3.323231428797621,2.713216235691139
隐,22,80,3.221097250057957,3.8219280948873626
窃,22,80,3.208694969562842,3.2390979179887864
兵,22,80,3.188721875540867,3.747413039531641
备,22,80,3.084962500721156,3.594465636961452
广,22,80,3.057476076289931,3.0062389286533895
饮,22,80,2.8581184630979695,3.7345216647797512
林,22,80,2.8352377453121176,2.245869617795809
胡,22,80,2.406647097785926,2.827819531114783
江,22,80,2.3695710038552735,3.2660562582833683
卫,22,80,2.3158243335257076,3.1083757000539416
龙,21,80,3.85216872360328,3.6818808028034025
避,21,80,3.85216872360328,3.2810361125534233
疾,21,80,3.7345216647797512,3.577819531114783
清,21,80,3.6644977792004614,4.0841837197791895
曲,21,80,3.614369445886757,3.546593564294939
官,21,80,3.375,3.7345216647797512
舟,21,80,3.29277019393699,3.9219280948873627
伐,21,80,3.2390979179887864,3.875
积,21,80,3.219528282299547,3.326360407952694
运,21,80,3.1916116417513782,3.219528282299547
坐,21,80,3.1820058147602133,3.6416041678685933
迹,21,80,3.149397470347699,3.463280517810811
牛,21,80,3.077819531114783,4.021928094887363
遂,20,80,4.021928094887363,3.1219280948873624
交,20,80,3.875,4.1219280948873624
苦,20,80,3.784183719779189,3.506890595608519
让,20,80,3.625,3.521928094887363
虑,20,80,3.521640636343318,2.9056390622295662
趋,20,80,3.2776134368191157,2.9016094970590274
梁,20,80,3.2516291673878226,3.6818808028034025
满,20,80,3.2483650467509033,3.572469458770135
假,20,80,3.197159723424149,3.327819531114783
恐,20,80,3.110578014789016,2.7192945256669794
孙,20,80,3.101881223476018,2.389898095464287
书,20,80,3.095795255000934,2.6235166412180155
力,20,80,3.077819531114783,3.7216117239699007
称,20,80,3.057476076289931,3.589898095464288
乡,20,80,3.0220552088742005,3.5
御,20,80,2.7806390622295662,3.614369445886757
顾,20,80,2.6464393446710157,2.320802083934297
越,20,80,2.6416041678685938,3.3248629576173565
叔,20,80,2.636056086195823,2.7898980954642876
哭,20,80,2.5136459293583706,3.2639334294856335
宜,20,80,2.321928094887362,2.9842341646524884
两,19,80,3.7254805569978675,3.521640636343318
毁,19,80,3.589898095464288,3.521640636343318
察,19,80,3.456564762130954,3.4182958340544896
孝,19,80,3.3787834934861753,3.456564762130954
节,19,80,3.3219280948873626,3.1692486956952326
昭,19,80,3.1813663288914587,3.0220552088742005
岁,19,80,3.056564762130954,3.080500530640267
土,19,80,2.9735572622751856,3.826874881864638
倪,19,80,2.94770277922009,2.510056460356539
才,19,80,2.8962915290459277,3.149673447186741
刑,19,80,2.7806390622295662,3.125
尚,18,80,3.905764584655453,4.087462841250339
惊,18,80,3.3927474104487847,3.530493056757482
财,18,80,3.323231428797621,2.8962915290459277
朝,18,80,3.1820058147602133,3.7004397181410926
商,18,80,3.1556390622295662,2.792481250360578
向,18,80,2.8218881955261788,2.8073549220576037
围,18,80,2.6635327548042547,3.180832987205441
干,18,80,2.6635327548042547,2.6756981353679863
面,18,80,2.396782221599798,2.339572261986723
季,18,80,2.349601752714581,2.063458298648303
术,18,80,2.2988252450030506,2.3082708345352603
俱,17,80,3.906890595608519,3.327819531114783
手,17,80,3.5,2.8423709931771084
盛,17,80,3.4992275471326924,3.0930692077718898
兽,17,80,3.4677201004744993,2.4956029237290127
殉,17,80,3.456564762130954,3.6901165175936645
推,17,80,3.456564762130954,3.240223928941852
勿,17,80,3.4104172527605194,2.873140679513133
钩,17,80,3.3927474104487847,3.625
伪,17,80,3.3219280948873626,3.807763576417194
闲,17,80,3.3219280948873626,3.589898095464288
胥,17,80,3.1898980954642875,2.1258145836939115
传,17,80,3.180832987205441,3.5
接,17,80,3.149397470347699,2.9182958340544896
苟,17,80,3.0516016368717036,2.6416041678685938
轻,17,80,3.0269868333592873,3.521640636343318
室,17,80,3.0,3.577819531114783
伦,17,80,3.0,2.682588730501833
禹,17,80,2.931208948910323,2.2516291673878226
宁,17,80,2.9219280948873623,3.095795255000934
私,17,80,2.9182958340544896,2.8138461086383844
役,17,80,2.8553885422075336,3.572469458770135
稽,17,80,2.8352377453121176,2.8522170014624826
祸,17,80,2.7806390622295662,2.5
友,17,80,2.584962500721156,3.146286370662104
芒,17,80,2.339572261986723,3.2516291673878226
县,16,80,3.640223928941852,3.0391486719030705
福,16,80,3.4594316186372973,2.556656707462823
魏,16,80,3.456564762130954,2.6416041678685938
加,16,80,3.452819531114783,2.521640636343318
鸡,16,80,3.4182958340544896,2.75
虎,16,80,3.2516291673878226,3.521640636343318
登,16,80,3.25,2.9219280948873623
畏,16,80,3.132914563979398,3.807354922057604
陵,16,80,3.084962500721156,3.106890595608519
类,16,80,3.0269868333592873,3.521640636343318
音,16,80,2.9219280948873623,3.4677201004744993
兼,16,80,2.9056390622295662,3.4594316186372973
陈,16,80,2.9056390622295662,2.8352377453121176
崖,16,80,2.75,3.149397470347699
斗,16,80,2.6635327548042547,3.875
期,16,80,2.610577243331642,2.8553885422075336
委,16,80,2.091917186688699,2.9182958340544896
赏,16,80,2.0049355947431313,3.3248629576173565
西,15,80,3.521640636343318,3.2516291673878226
决,15,80,3.4182958340544896,3.1219280948873624
聚,15,80,3.3927474104487847,3.0
致,15,80,3.3787834934861753,3.1219280948873624
约,15,80,3.2776134368191157,2.8453509366224368
负,15,80,3.240223928941852,2.913977073182752
纯,15,80,3.238901256602631,3.3219280948873626
睹,15,80,3.238901256602631,2.9219280948873623
灭,15,80,3.188721875540867,3.546593564294939
户,15,80,3.0269868333592873,3.240223928941852
蓬,15,80,3.0062389286533895,3.0271691184406184
兄,15,80,2.950212064914747,3.238901256602631
翼,15,80,2.9219280948873623,3.2516291673878226
损,15,80,2.8453509366224368,3.238901256602631
载,15,80,2.8453509366224368,3.1898980954642875
驰,15,80,2.75,3.084962500721156
涂,15,80,2.725480556997868,3.1820058147602133
位,15,80,2.725480556997868,2.8352377453121176
右,15,80,2.7192945256669794,2.4508257945180882
开,15,80,2.692380602454975,2.6416041678685938
皇,15,80,2.6535442970305683,2.5073801024236357
华,15,80,2.617492461184755,2.931208948910323
群,15,80,2.5219280948873624,3.546593564294939
持,15,80,2.521640636343318,3.6644977792004614
思,15,80,2.5073801024236357,2.6464393446710157
政,15,80,2.5,2.0670314951575843
材,15,80,2.4996981431844145,2.0930692077718898
觉,15,80,2.4464393446710155,2.8352377453121176
戒,15,80,2.3685225277282065,3.1219280948873624
衰,15,80,2.2359263506290326,3.589898095464288
封,15,80,2.199687794731328,3.180832987205441
器,15,80,2.049452072789394,3.3787834934861753
滑,14,80,3.3927474104487847,3.084962500721156
妻,14,80,3.334679141051595,3.0271691184406184
操,14,80,3.334679141051595,2.9219280948873623
连,14,80,3.334679141051595,2.8073549220576037
端,14,80,3.3219280948873626,2.7192945256669794
征,14,80,3.2776134368191157,3.2516291673878226
荡,14,80,3.2516291673878226,3.095795255000934
谁,14,80,3.1820058147602133,2.5220552088742005
技,14,80,3.180832987205441,2.94770277922009
伏,14,80,3.180832987205441,2.8073549220576037
诚,14,80,3.1219280948873624,3.334679141051595
危,14,80,3.095795255000934,2.688721875540867
敖,14,80,3.084962500721156,2.8073549220576037
要,14,80,3.0220552088742005,2.9182958340544896
厚,14,80,2.94770277922009,3.3248629576173565
卑,14,80,2.9219280948873623,3.084962500721156
保,14,80,2.8073904508767225,3.3787834934861753
冠,14,80,2.8073549220576037,3.2516291673878226
槁,14,80,2.8073549220576037,2.287783719941071
代,14,80,2.7773627950641693,2.6384600665861555
夭,14,80,2.75,2.950212064914747
逃,14,80,2.7321588913645702,2.40400975732486
贫,14,80,2.6464393446710157,2.2810361125534233
绳,14,80,2.6416041678685938,2.688721875540867
调,14,80,2.617492461184755,2.4508257945180882
酒,14,80,2.610577243331642,2.260820318171659
惧,14,80,2.521640636343318,3.085055102756477
授,14,80,2.4996981431844145,2.7884504573082896
朴,14,80,2.2516291673878226,3.238901256602631
鸣,14,80,2.2516291673878226,3.180832987205441
栗,14,80,2.128085278891394,3.2516291673878226
特,13,80,3.3927474104487847,3.2776134368191157
甘,13,80,3.3219280948873626,3.2776134368191157
近,13,80,3.2776134368191157,2.222191575506678
饰,13,80,3.188721875540867,3.4594316186372973
张,13,80,3.188721875540867,2.6464393446710157
幸,13,80,3.180832987205441,2.725480556997868
循,13,80,3.169925001442312,3.1219280948873624
履,13,80,3.1219280948873624,3.169925001442312
敬,13,80,3.095795255000934,2.94770277922009
象,13,80,3.0271691184406184,3.3219280948873626
淫,13,80,3.0269868333592873,2.721928094887362
尔,13,80,3.0,2.6416041678685938
狙,13,80,2.931208948910323,2.2998963911678914
愈,13,80,2.913977073182752,3.4182958340544896
史,13,80,2.8464393446710154,2.321928094887362
务,13,80,2.8453509366224368,3.2776134368191157
刀,13,80,2.8453509366224368,3.0269868333592873
退,13,80,2.8073549220576037,2.0588138903312014
计,13,80,2.7321588913645702,2.584962500721156
旦,13,80,2.7192945256669794,2.725480556997868
遭,13,80,2.688721875540867,2.3685225277282065
疑,13,80,2.6416041678685938,3.4182958340544896
臂,13,80,2.584962500721156,3.3927474104487847
恬,13,80,2.5220552088742005,3.084962500721156
怪,13,80,2.521640636343318,3.180832987205441
虫,13,80,2.521640636343318,2.918295834054489
陆,13,80,2.5,2.7516291673878226
匠,13,80,2.4508257945180882,2.321928094887362
贼,13,80,2.4193819456463714,2.6258145836939115
珠,13,80,2.321928094887362,3.188721875540867
识,13,80,2.321928094887362,2.6258145836939115
辱,13,80,2.2516291673878226,3.238901256602631
左,13,80,2.221251836004466,2.521640636343318
覆,13,80,2.197159723424149,2.521640636343318
审,13,80,2.1709505944546685,2.6464393446710157
属,13,80,2.1609640474436813,2.6464393446710157
望,13,80,2.1609640474436813,2.128085278891394
草,13,80,2.1258145836939115,3.0
均,13,80,2.0588138903312014,3.0850551027564768
树,13,80,2.0588138903312014,2.550340709546388
凿,12,80,3.4182958340544896,2.75
缘,12,80,3.3219280948873626,3.0
玄,12,80,3.188721875540867,2.75
妄,12,80,3.169925001442312,3.169925001442312
还,12,80,3.169925001442312,2.75
